EI1,EI2,EI3,EI4,EI5,EI6,EI7,EI8,JP1,JP2,JP3,JP4,JP5,JP6,JP7,JP8,SN1,SN2,SN3,SN4,SN5,SN6,SN7,TF1,TF2,TF3
A,B,both,B,A,both,B,B,A,A,both,B,A,A,B,both,both,both,B,A,B,both,both,both,B,both
B,A,B,B,A,A,A,B,A,B,A,A,A,A,A,A,A,A,A,A,B,B,A,A,B,A
both,B,B,B,B,both,A,B,A,A,A,A,A,A,A,A,both,A,both,both,both,B,A,both,both,both
B,B,B,B,B,A,B,B,B,C,A,B,B,B,B,both,A,A,B,B,A,B,A,A,B,both
B,B,A,B,B,B,B,B,A,A,A,A,A,A,A,A,A,A,A,B,B,A,B,B,both,B
B,A,B,A,B,B,A,B,A,C,A,A,A,A,B,A,B,both,B,A,B,both,A,B,A,A
A,both,B,B,B,B,B,B,A,C,A,B,A,A,A,both,A,A,B,A,A,A,A,B,A,B
A,A,B,A,A,B,B,B,B,A,B,B,B,A,B,B,A,A,A,A,B,A,A,A,A,A
B,A,B,both,A,B,B,B,B,B,A,A,B,A,B,B,B,A,A,A,A,A,A,B,B,B
B,A,A,A,B,both,B,A,B,B,A,B,B,B,B,both,A,A,A,A,B,both,A,A,A,A
A,A,B,B,A,B,B,B,B,both,A,A,B,B,both,A,A,A,A,A,A,B,A,A,A,B
A,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,B,A,B,A,B,A,A,B,B,B
both,A,A,A,B,A,A,A,B,B,A,B,B,B,A,both,B,A,A,A,B,A,B,A,A,B
A,A,B,B,B,B,B,B,both,C,B,B,B,B,B,B,B,B,A,A,A,B,A,A,B,B
A,A,A,B,A,B,B,A,A,C,A,B,A,A,B,A,A,A,B,A,B,A,A,B,A,B
A,B,B,B,B,A,B,B,B,A,B,A,A,A,A,both,A,A,B,A,A,A,A,A,A,A
both,B,B,B,B,both,A,B,both,both,both,B,B,A,A,A,B,A,A,A,A,A,A,A,A,B
A,both,A,B,B,B,B,B,A,C,B,B,A,B,B,both,B,A,A,A,B,A,B,A,B,A
B,A,B,B,B,A,B,B,A,A,A,B,B,A,B,A,A,both,A,A,A,B,A,A,A,A
B,B,B,B,B,A,B,B,B,A,A,B,B,B,A,both,B,B,B,B,B,B,B,A,B,A
B,A,B,B,both,B,A,B,B,A,B,B,A,A,A,A,A,B,B,A,A,A,A,B,A,B
B,A,B,A,B,B,B,B,A,A,A,A,A,A,B,both,A,A,A,A,A,B,A,B,A,B
B,A,B,B,B,A,B,B,B,B,A,A,A,A,B,B,A,A,A,B,A,B,A,A,A,A
A,A,A,B,A,both,B,B,A,A,B,A,B,A,B,B,A,B,both,A,A,A,A,A,A,A
B,A,B,B,B,B,B,B,both,A,A,A,A,A,B,B,both,A,A,A,A,A,A,A,A,B
B,A,B,B,A,A,B,B,A,A,A,B,A,A,B,A,B,A,B,B,A,A,A,B,A,B
A,B,A,B,A,B,B,A,B,both,B,B,both,A,B,B,B,A,B,B,both,B,A,A,both,B
B,A,B,B,B,B,B,B,A,A,A,A,A,A,A,B,A,B,A,A,B,A,A,B,A,B
A,A,A,A,B,A,B,B,B,C,A,B,A,A,A,B,A,A,B,A,A,A,A,A,A,A
B,both,B,B,B,B,B,B,B,C,A,B,A,A,A,B,B,A,A,both,B,A,A,A,B,B
B,B,B,A,B,B,B,B,A,C,A,A,B,A,A,A,A,A,B,A,B,B,A,A,A,B
B,A,B,B,B,B,B,B,A,both,both,A,both,A,both,A,B,B,A,A,A,A,A,both,A,B
A,B,B,A,B,A,B,A,A,C,B,A,B,A,A,both,A,A,B,A,A,A,A,A,A,A
A,A,B,A,B,A,B,B,B,B,A,both,both,A,B,B,B,A,A,both,A,B,both,A,A,A
A,A,B,B,B,B,B,B,B,B,A,B,A,B,B,B,B,A,B,B,B,A,A,B,B,B
both,both,both,B,B,both,B,B,B,A,B,B,A,A,A,both,B,B,B,A,A,B,B,B,B,both
both,B,B,A,B,B,B,B,A,B,A,B,A,A,A,both,A,both,both,both,A,A,A,both,both,B
B,B,A,A,B,B,A,A,B,A,A,A,A,A,A,both,B,B,B,A,B,A,B,A,B,B
A,both,B,B,B,A,B,B,A,A,A,A,both,A,A,A,A,B,B,A,both,both,B,B,both,both
B,B,B,B,B,B,B,A,B,B,A,B,A,A,A,B,A,A,B,A,B,A,A,B,A,A
B,A,both,B,A,B,B,both,A,both,B,B,A,A,B,A,A,B,A,B,B,B,A,both,B,B
both,B,B,both,B,B,B,A,A,A,A,B,A,A,A,A,A,,A,A,B,B,B,both,B,B
B,B,A,A,B,B,B,B,A,A,B,B,B,A,B,B,B,B,A,A,A,A,A,B,B,A
B,B,B,B,B,B,B,A,A,both,A,A,A,A,A,A,A,B,B,A,A,A,both,B,B,B
A,A,B,B,A,B,both,B,A,A,A,A,B,A,both,both,A,B,B,A,A,A,both,A,A,A
B,A,A,B,B,B,B,B,A,both,B,B,B,A,B,B,B,A,A,A,A,A,A,B,A,A
both,B,B,B,A,B,B,B,A,A,A,B,A,A,A,both,A,A,B,A,A,B,A,A,A,A
A,A,B,A,A,A,A,A,both,A,A,B,A,A,A,A,A,B,B,B,B,A,both,A,A,A
both,B,B,A,A,B,A,B,B,B,A,B,B,A,both,B,A,A,A,A,A,A,B,A,A,B
both,both,both,B,A,A,B,B,A,A,B,both,A,B,both,A,A,A,A,A,,both,A,A,B,B
B,A,A,B,A,B,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,both,B,A,B
A,A,B,A,A,A,B,B,A,A,B,A,B,B,B,both,B,A,B,A,A,A,A,B,A,B
B,B,A,B,A,B,B,B,B,C,B,B,B,A,B,both,B,A,B,both,A,B,A,A,A,A
both,A,both,B,A,A,B,A,A,A,A,B,A,A,both,A,A,A,A,B,A,B,A,both,A,A
B,B,B,B,B,B,B,B,B,B,A,B,B,B,A,both,A,B,A,A,A,A,B,B,A,A
both,A,B,B,A,B,B,B,A,B,A,A,B,B,B,B,A,B,A,B,B,A,B,B,A,A
A,A,B,A,A,A,B,B,B,B,B,B,A,A,B,B,A,A,B,B,A,both,A,B,B,B
A,B,A,B,A,A,B,B,A,A,A,B,A,A,A,B,B,A,A,A,B,A,A,B,A,B
B,B,B,B,B,B,A,B,A,A,A,B,A,A,both,B,B,A,B,both,B,B,A,B,A,A
both,both,A,B,A,both,A,both,B,B,B,B,B,both,A,B,both,B,A,B,A,A,B,both,A,B
B,B,B,B,B,B,B,B,A,A,B,B,A,B,A,both,B,B,B,B,A,A,B,A,A,A
B,B,B,B,B,B,B,both,B,B,A,A,B,B,A,A,B,both,A,A,B,both,both,A,A,A
B,B,A,B,B,both,both,B,B,A,A,B,A,A,A,A,A,A,A,A,A,B,A,B,B,A
B,B,B,both,A,B,B,A,A,A,A,A,A,A,B,B,B,both,A,both,,A,A,A,A,both
both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both
B,B,B,B,B,B,B,B,A,A,A,B,B,B,B,both,A,B,A,A,A,A,B,both,A,A
B,B,B,B,B,A,A,B,A,both,B,B,both,A,A,A,A,B,A,B,B,A,both,B,A,B
B,both,B,B,B,B,B,B,both,both,both,B,A,B,B,B,A,B,B,A,A,A,both,B,B,A
B,B,B,both,B,B,B,A,both,A,both,B,B,A,A,A,B,A,A,A,A,B,A,A,both,A
B,B,both,B,B,B,B,B,B,A,A,B,A,A,A,A,A,B,A,A,A,A,A,A,B,B
B,A,B,A,B,A,B,B,A,A,A,B,A,A,B,both,A,B,A,A,A,A,A,B,A,B
A,A,A,A,A,both,B,A,A,A,A,B,A,A,B,A,A,A,A,A,both,A,A,A,both,both
A,A,B,A,B,B,B,B,A,A,A,B,B,B,both,both,B,A,A,A,A,B,A,B,A,A
A,B,B,both,B,B,B,A,A,A,A,B,B,A,B,B,A,A,B,both,B,A,A,B,B,A
A,A,B,A,B,B,B,A,A,B,B,B,A,A,B,B,B,A,A,A,B,B,B,A,A,B
B,B,B,B,both,A,B,B,B,C,A,both,B,A,A,B,B,A,A,A,both,A,A,A,A,A
both,A,B,A,B,B,B,B,both,A,A,B,A,A,A,B,A,B,A,A,both,A,B,B,B,B
A,B,B,B,B,B,B,B,A,B,A,B,A,A,A,A,A,B,A,A,A,B,A,A,A,A
B,A,B,B,A,B,B,A,A,A,A,B,A,both,B,A,A,B,B,A,B,A,A,B,B,B
B,A,A,B,B,B,A,B,A,B,A,B,B,A,B,B,A,both,A,A,A,A,A,both,A,A
A,B,both,B,A,both,A,A,both,both,A,A,B,B,B,B,B,both,A,both,A,both,both,A,A,A
B,A,B,A,B,B,B,B,A,A,A,B,A,A,A,both,B,B,A,A,A,,A,B,B,B
both,B,A,B,B,both,B,A,A,B,A,A,A,A,A,A,A,B,both,B,both,A,A,B,A,A
A,A,A,A,A,A,B,both,both,A,B,A,both,A,both,A,B,A,both,B,A,B,A,A,A,both
A,B,B,B,B,both,A,B,B,C,A,B,B,A,A,A,A,A,B,A,A,B,A,B,A,A
A,B,B,A,A,A,A,A,A,A,A,B,A,A,A,both,A,A,B,B,B,A,both,B,A,A
A,A,B,B,A,A,B,A,both,A,A,A,A,A,both,B,A,B,A,B,B,both,A,B,A,A
both,A,B,B,A,both,B,A,B,A,A,B,B,A,both,both,A,both,A,A,A,A,both,A,A,both
A,both,A,A,A,A,B,both,both,A,B,B,A,A,B,both,A,A,A,A,B,A,A,A,both,B
A,B,B,B,A,B,B,B,A,A,A,B,A,B,both,A,both,both,A,A,A,A,A,B,A,B
A,B,B,B,B,B,B,B,A,A,A,A,A,A,A,A,B,A,A,A,B,B,A,B,B,B
B,A,B,B,B,A,B,B,B,B,A,A,B,both,A,both,A,B,A,A,B,B,B,A,B,B
A,A,B,B,B,B,B,B,both,A,A,B,A,A,B,A,A,A,B,A,A,A,A,A,B,B
A,A,A,A,A,A,B,B,A,C,A,B,both,A,both,A,B,A,both,both,A,both,A,both,both,A
B,A,B,B,A,B,B,A,A,B,A,B,A,A,A,B,B,A,B,A,A,B,A,A,A,A
A,A,B,B,B,B,B,B,B,C,B,A,A,A,B,both,B,A,A,A,A,B,A,A,B,B
A,A,B,B,B,both,A,B,B,B,A,both,B,A,A,B,A,B,A,both,B,A,B,A,A,B
both,B,B,B,B,B,B,B,A,A,A,A,B,A,A,both,B,B,A,B,A,B,A,B,A,A
both,B,A,both,B,B,B,B,A,A,A,B,A,A,A,both,B,A,A,A,A,B,A,both,B,B
B,B,B,B,B,B,A,B,B,A,A,B,A,A,A,B,A,A,A,A,B,B,A,A,A,A
B,B,B,B,B,B,B,B,B,B,A,B,B,B,B,both,A,A,A,A,B,A,B,B,A,A
both,B,both,both,A,both,A,B,A,A,A,both,A,A,A,both,B,both,both,both,B,both,A,A,A,both
A,A,B,A,A,B,B,B,B,B,B,B,B,B,B,B,A,A,B,A,A,B,A,A,A,A
A,B,B,A,A,A,A,B,B,B,A,B,B,A,A,both,A,B,A,A,B,A,A,A,B,A
A,B,both,A,A,B,B,B,A,C,A,both,A,A,A,both,both,A,B,A,A,both,A,both,A,A
both,B,B,A,B,A,B,B,B,B,B,B,A,both,A,both,A,both,A,A,B,both,B,A,A,A
A,A,both,A,A,both,B,A,B,B,A,B,B,B,b,both,B,A,A,A,A,both,A,A,A,A
both,A,A,A,A,both,B,B,A,both,A,B,A,A,B,B,B,both,A,both,B,A,A,B,A,B
both,A,B,A,B,B,B,B,B,B,A,A,B,A,B,B,B,A,B,B,A,B,A,B,A,B
A,both,A,B,A,B,A,A,A,A,B,B,A,A,A,both,both,both,B,A,A,A,A,B,B,A
A,B,B,A,B,both,B,B,B,A,A,B,A,A,B,A,B,both,A,A,A,A,B,A,B,A
B,B,B,B,both,B,B,A,A,A,A,B,both,B,A,A,A,A,B,A,A,A,A,A,A,both
both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both
A,A,B,A,B,A,B,B,A,B,A,B,A,A,B,A,both,B,A,A,A,B,A,A,A,A
A,A,B,A,A,both,B,B,B,A,A,B,A,A,A,B,A,A,B,A,A,A,A,A,A,B
B,B,both,B,B,both,B,B,B,A,B,B,both,B,B,B,B,A,A,both,A,B,B,A,A,both
B,B,B,B,B,B,A,A,A,A,A,A,A,B,B,both,A,A,A,A,B,A,A,A,A,B
A,B,B,B,B,A,both,B,B,A,A,B,both,A,B,B,both,A,B,A,B,A,A,both,A,A
both,A,both,A,both,A,both,B,A,both,A,both,B,B,A,A,A,A,both,A,A,both,A,B,both,B
A,A,A,B,B,A,A,both,A,A,B,A,B,A,A,B,B,A,A,B,A,A,A,both,A,both
A,A,B,,A,B,B,both,both,B,A,A,A,both,A,A,B,A,A,A,A,both,A,A,B,A
both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both
both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both,both
A,B,A,B,B,A,A,B,A,C,B,A,A,B,A,both,B,A,A,A,A,B,A,B,B,B
B,B,B,B,B,B,B,both,A,B,A,A,A,A,B,A,B,B,B,both,A,A,A,B,both,both
both,both,A,B,B,B,B,B,A,A,B,A,A,A,A,A,A,B,A,A,both,A,A,B,A,B